year,final_theme,count
2006,Therapeutic strategies and antidotal interventions,2
2007,Amanita poisoning and amatoxin intoxication,11
2007,Amatoxin-induced hepatotoxicity and liver failure,18
2007,Clinical poisoning management and supportive care,6
2007,"Epidemiology, outbreaks, and surveillance",1
2007,Other mushroom-poisoning research themes,11
2007,Poisonous mushroom identification and taxonomy,1
2007,Renal and extrahepatic toxicity,1
2007,Therapeutic strategies and antidotal interventions,2
2008,Amanita poisoning and amatoxin intoxication,18
2008,Amatoxin-induced hepatotoxicity and liver failure,12
2008,Clinical poisoning management and supportive care,5
2008,"Epidemiology, outbreaks, and surveillance",1
2008,Other mushroom-poisoning research themes,10
2008,Poisonous mushroom identification and taxonomy,1
2008,Renal and extrahepatic toxicity,2
2008,Therapeutic strategies and antidotal interventions,1
2009,Amanita poisoning and amatoxin intoxication,13
2009,Amatoxin-induced hepatotoxicity and liver failure,16
2009,Clinical poisoning management and supportive care,4
2009,"Epidemiology, outbreaks, and surveillance",6
2009,Other mushroom-poisoning research themes,13
2009,Renal and extrahepatic toxicity,6
2010,Amanita poisoning and amatoxin intoxication,20
2010,Amatoxin-induced hepatotoxicity and liver failure,17
2010,Clinical poisoning management and supportive care,5
2010,"Epidemiology, outbreaks, and surveillance",1
2010,Other mushroom-poisoning research themes,13
2010,Poisonous mushroom identification and taxonomy,2
2010,Renal and extrahepatic toxicity,3
2010,Therapeutic strategies and antidotal interventions,1
2011,Amanita poisoning and amatoxin intoxication,23
2011,Amatoxin-induced hepatotoxicity and liver failure,9
2011,Clinical poisoning management and supportive care,6
2011,"Epidemiology, outbreaks, and surveillance",3
2011,Other mushroom-poisoning research themes,10
2011,Poisonous mushroom identification and taxonomy,1
2011,Renal and extrahepatic toxicity,5
2011,Therapeutic strategies and antidotal interventions,2
2012,Amanita poisoning and amatoxin intoxication,18
2012,Amatoxin-induced hepatotoxicity and liver failure,13
2012,Clinical poisoning management and supportive care,9
2012,"Epidemiology, outbreaks, and surveillance",2
2012,Other mushroom-poisoning research themes,16
2012,Poisonous mushroom identification and taxonomy,2
2012,Renal and extrahepatic toxicity,6
2012,Therapeutic strategies and antidotal interventions,2
2013,AI-assisted mushroom identification and computational classification,1
2013,Amanita poisoning and amatoxin intoxication,15
2013,Amatoxin-induced hepatotoxicity and liver failure,15
2013,Clinical poisoning management and supportive care,12
2013,"Epidemiology, outbreaks, and surveillance",5
2013,Other mushroom-poisoning research themes,24
2013,Poisonous mushroom identification and taxonomy,1
2013,Renal and extrahepatic toxicity,1
2013,Therapeutic strategies and antidotal interventions,3
2014,Amanita poisoning and amatoxin intoxication,19
2014,Amatoxin-induced hepatotoxicity and liver failure,17
2014,Clinical poisoning management and supportive care,6
2014,"Epidemiology, outbreaks, and surveillance",2
2014,Other mushroom-poisoning research themes,21
2014,Poisonous mushroom identification and taxonomy,1
2014,Renal and extrahepatic toxicity,1
2015,AI-assisted mushroom identification and computational classification,1
2015,Amanita poisoning and amatoxin intoxication,29
2015,Amatoxin-induced hepatotoxicity and liver failure,11
2015,Clinical poisoning management and supportive care,4
2015,Other mushroom-poisoning research themes,17
2015,Poisonous mushroom identification and taxonomy,1
2015,Renal and extrahepatic toxicity,3
2015,Therapeutic strategies and antidotal interventions,2
2016,Amanita poisoning and amatoxin intoxication,17
2016,Amatoxin-induced hepatotoxicity and liver failure,10
2016,Clinical poisoning management and supportive care,10
2016,"Epidemiology, outbreaks, and surveillance",2
2016,Other mushroom-poisoning research themes,21
2016,Poisonous mushroom identification and taxonomy,3
2016,Renal and extrahepatic toxicity,3
2016,Therapeutic strategies and antidotal interventions,2
2017,Amanita poisoning and amatoxin intoxication,20
2017,Amatoxin-induced hepatotoxicity and liver failure,18
2017,Clinical poisoning management and supportive care,5
2017,"Epidemiology, outbreaks, and surveillance",2
2017,Other mushroom-poisoning research themes,15
2017,Poisonous mushroom identification and taxonomy,2
2017,Renal and extrahepatic toxicity,1
2018,AI-assisted mushroom identification and computational classification,2
2018,Amanita poisoning and amatoxin intoxication,20
2018,Amatoxin-induced hepatotoxicity and liver failure,17
2018,Clinical poisoning management and supportive care,7
2018,"Epidemiology, outbreaks, and surveillance",7
2018,Other mushroom-poisoning research themes,23
2018,Poisonous mushroom identification and taxonomy,2
2018,Therapeutic strategies and antidotal interventions,1
2019,AI-assisted mushroom identification and computational classification,5
2019,Amanita poisoning and amatoxin intoxication,16
2019,Amatoxin-induced hepatotoxicity and liver failure,13
2019,Clinical poisoning management and supportive care,6
2019,"Epidemiology, outbreaks, and surveillance",3
2019,Other mushroom-poisoning research themes,22
2019,Poisonous mushroom identification and taxonomy,3
2019,Renal and extrahepatic toxicity,2
2020,AI-assisted mushroom identification and computational classification,2
2020,Amanita poisoning and amatoxin intoxication,32
2020,Amatoxin-induced hepatotoxicity and liver failure,15
2020,Clinical poisoning management and supportive care,7
2020,"Epidemiology, outbreaks, and surveillance",5
2020,Other mushroom-poisoning research themes,18
2020,Poisonous mushroom identification and taxonomy,11
2020,Renal and extrahepatic toxicity,1
2021,AI-assisted mushroom identification and computational classification,5
2021,Amanita poisoning and amatoxin intoxication,32
2021,Amatoxin-induced hepatotoxicity and liver failure,20
2021,Clinical poisoning management and supportive care,3
2021,"Epidemiology, outbreaks, and surveillance",8
2021,Other mushroom-poisoning research themes,23
2021,Poisonous mushroom identification and taxonomy,14
2021,Renal and extrahepatic toxicity,1
2022,AI-assisted mushroom identification and computational classification,13
2022,Amanita poisoning and amatoxin intoxication,24
2022,Amatoxin-induced hepatotoxicity and liver failure,18
2022,Clinical poisoning management and supportive care,9
2022,"Epidemiology, outbreaks, and surveillance",11
2022,Other mushroom-poisoning research themes,34
2022,Poisonous mushroom identification and taxonomy,11
2022,Renal and extrahepatic toxicity,2
2022,Therapeutic strategies and antidotal interventions,2
2023,AI-assisted mushroom identification and computational classification,11
2023,Amanita poisoning and amatoxin intoxication,31
2023,Amatoxin-induced hepatotoxicity and liver failure,24
2023,Clinical poisoning management and supportive care,4
2023,"Epidemiology, outbreaks, and surveillance",10
2023,Other mushroom-poisoning research themes,26
2023,Poisonous mushroom identification and taxonomy,7
2023,Renal and extrahepatic toxicity,4
2023,Therapeutic strategies and antidotal interventions,1
2024,AI-assisted mushroom identification and computational classification,12
2024,Amanita poisoning and amatoxin intoxication,36
2024,Amatoxin-induced hepatotoxicity and liver failure,22
2024,Clinical poisoning management and supportive care,6
2024,"Epidemiology, outbreaks, and surveillance",17
2024,Other mushroom-poisoning research themes,36
2024,Poisonous mushroom identification and taxonomy,9
2025,AI-assisted mushroom identification and computational classification,15
2025,Amanita poisoning and amatoxin intoxication,26
2025,Amatoxin-induced hepatotoxicity and liver failure,25
2025,Clinical poisoning management and supportive care,9
2025,"Epidemiology, outbreaks, and surveillance",16
2025,Other mushroom-poisoning research themes,36
2025,Poisonous mushroom identification and taxonomy,6
2025,Renal and extrahepatic toxicity,1
