topic_id,top_words,representative_doc_rank,representative_text,expert_label,include_exclude,comment
3,"amatoxin, amanita, poisoning, patients, failure, liver, mushroom, ingestion, with, acute",2,"N -acetylcysteine as a treatment for amatoxin poisoning: a systematic review.. Introduction: Amatoxin leads to the majority of deaths by mushroom poisoning around the world. Amatoxin causes gastrointestinal disturbances and multiple organ dysfunction, including liver and renal failure. As a potential treatment for amatoxin poisoning, N -acetylcysteine (NAC) has been used for decades but its benefit is still unproven. Objectives: We undertook a systematic review to evaluate the performance and safety of N -acetylcysteine on patients suffering amatoxin intoxication. Methods: We searched Pubmed, ",Amatoxin-induced hepatotoxicity and clinical management,INCLUDE,"Core mushroom-toxicology cluster focused on amatoxin poisoning, acute liver failure, diagnosis, and treatment including NAC."
3,"amatoxin, amanita, poisoning, patients, failure, liver, mushroom, ingestion, with, acute",3,"Challenges in the early diagnosis of patients with acute liver failure induced by amatoxin poisoning: Two case reports.. Acute liver failure (ALF) induced by amatoxin-containing mushrooms accounts for more than 90% of deaths in patients suffering from mushroom poisoning. However, due to the fact that most hospitals cannot identify the species of mushrooms involved, or detect amatoxins, the early diagnosis of amatoxin intoxication remains a significant challenge in clinical practice. Two patients were had ingested wild mushrooms 15 hours before admission. Six hours prior to admission they exper",Amatoxin-induced hepatotoxicity and clinical management,INCLUDE,"Core mushroom-toxicology cluster focused on amatoxin poisoning, acute liver failure, diagnosis, and treatment including NAC."
4,"liver, failure, acute, hepatic, fhf, pigs, model, and, srbal, management",1,The Use and Potential Benefits of N-Acetylcysteine in Non-Acetaminophen Acute Liver Failure: An Etiology-Based Review.. Acute liver failure represents a life-threatening organ dysfunction with high mortality rates and an urgent need for liver transplantation. The etiology of the disease varies widely depending on various socio-economic factors and is represented mainly by paracetamol overdose and other drug-induced forms of liver dysfunction in the developed world and by viral hepatitis and mushroom poisoning in less developed countries. Current medical care constitutes either specific antidot,Amatoxin-associated acute liver failure and experimental hepatotoxicity,INCLUDE,"Mixed clinical and experimental hepatology cluster, but mechanistically linked to alpha-amanitin-induced fulminant hepatic failure and liver-support research."
4,"liver, failure, acute, hepatic, fhf, pigs, model, and, srbal, management",2,"Large-animal models of fulminant hepatic failure.. For the development of an artificial liver support system, a clinically relevant large-animal model of fulminant hepatic failure (FHF) is indispensable. Although several large-animal models have been reported so far, they have not been entirely satisfactory. Recently, we have developed a new porcine model of FHF by means of intraportal administration of 0.1 mg/kg of alpha-amanitin and 1 microg/kg of lipopolysaccharide (LPS). This model has the following superior features: 100% mortality within 5 days along with a marked elevation of aspartate ",Amatoxin-associated acute liver failure and experimental hepatotoxicity,INCLUDE,"Mixed clinical and experimental hepatology cluster, but mechanistically linked to alpha-amanitin-induced fulminant hepatic failure and liver-support research."
4,"liver, failure, acute, hepatic, fhf, pigs, model, and, srbal, management",3,"Pyruvate dehydrogenase complex and lactate dehydrogenase are targets for therapy of acute liver failure.. Acute liver failure is a rapidly progressive deterioration of hepatic function resulting in high mortality and morbidity. Metabolic enzymes can translocate to the nucleus to regulate histone acetylation and gene expression. Levels and activities of pyruvate dehydrogenase complex (PDHC) and lactate dehydrogenase (LDH) were evaluated in nuclear fractions of livers of mice exposed to various hepatotoxins including CD95-antibody, α-amanitin, and acetaminophen. Whole-genome gene expression prof",Amatoxin-associated acute liver failure and experimental hepatotoxicity,INCLUDE,"Mixed clinical and experimental hepatology cluster, but mechanistically linked to alpha-amanitin-induced fulminant hepatic failure and liver-support research."
5,"ama, amanitin, alpha, hepatocytes, induced, cells, hepatotoxicity, and, in, the",1,"A Comparison of the Effectiveness of Silibinin and Resveratrol in Preventing Alpha-Amanitin-Induced Hepatotoxicity.. Amanita phalloides species mushrooms containing alpha-amanitin (α-AMA) are responsible for the majority of fatal mushroom intoxications and can lead to severe poisonings resulting in hepatotoxicity and acute hepatic failure. Existing antidotes, such as silibinin, are not sufficiently effective in the prevention and/or resolution of α-AMA-induced hepatotoxicity. We investigated the effects of resveratrol on α-AMA-induced hepatotoxicity and compared with silibinin, a known antidot",Alpha-amanitin hepatocyte injury and hepatoprotective interventions,INCLUDE,"Relevant mechanistic toxicology cluster focused on alpha-amanitin-induced hepatotoxicity, hepatocyte apoptosis, and candidate protective agents."
5,"ama, amanitin, alpha, hepatocytes, induced, cells, hepatotoxicity, and, in, the",2,"Benzylpenicyllin and acetylcysteine protection from α-amanitin-induced apoptosis in human hepatocyte cultures.. High mortality rate in Amanita phalloides (death cap) intoxications is a result of the acute liver failure following hepatocyte damage due to hepatocellular uptake of amatoxins. α-Amanitin (α-AMA), the major amatoxin, blocks a RNA polymerase II, which results in inhibition of transcription of DNA and protein synthesis processes and leads to hepatocyte death. α-AMA is also a strong apoptosis inductor and may play a significant role in pathogenesis of hepatic damage in course of amanit",Alpha-amanitin hepatocyte injury and hepatoprotective interventions,INCLUDE,"Relevant mechanistic toxicology cluster focused on alpha-amanitin-induced hepatotoxicity, hepatocyte apoptosis, and candidate protective agents."
5,"ama, amanitin, alpha, hepatocytes, induced, cells, hepatotoxicity, and, in, the",3,"alpha-Amanitin induced apoptosis in primary cultured dog hepatocytes.. Amatoxin poisoning is caused by mushroom species belonging to the genera Amanita, Galerina and Lepiota with the majority of lethal mushroom exposures attributable to Amanita phalloides. High mortality rate in intoxications with these mushrooms is principally a result of the acute liver failure following significant hepatocyte damage due to hepatocellular uptake of amatoxins. A wide variety of amatoxins have been isolated; however, alpha-amanitin (alpha-AMA) appears to be the primary toxin. Studies in vitro and in vivo sugge",Alpha-amanitin hepatocyte injury and hepatoprotective interventions,INCLUDE,"Relevant mechanistic toxicology cluster focused on alpha-amanitin-induced hepatotoxicity, hepatocyte apoptosis, and candidate protective agents."
6,"species, lamp, identification, mushroom, poisonous, amplification, phylogenetic, based, isothermal, dna",1,"Rapid Russula senecis identification assays using loop-mediated isothermal amplification based on real-time fluorescence and visualization.. Russula senecis, a common poisonous mushroom, is widely distributed in China. Mushroom poisoning is becoming a major threat to human health and its rate is increasing worldwide. For the first time, we developed a set of loop-mediated isothermal amplification (LAMP) assays based on a real-time fluorescence and a visualization method to detect R. senecis, and the visual LAMP reaction system was optimized to further shorten the reaction time. Both real-time ",Molecular identification of poisonous mushrooms,INCLUDE,Relevant diagnostic/prevention cluster focused on DNA/LAMP-based rapid identification of poisonous mushroom species.
6,"species, lamp, identification, mushroom, poisonous, amplification, phylogenetic, based, isothermal, dna",2,"Rapid identification of Amanita citrinoannulata poisoning using colorimetric and real-time fluorescence and loop-mediated isothermal amplification (LAMP) based on the nuclear ITS region.. Health concerns and financial losses caused by mushroom poisoning have been reported worldwide. Amanita citrinoannulata , a poisonous mushroom commonly found in China, results in a toxic reaction in humans after mistaken ingestion. To reduce the mistaken ingestion of poisonous mushrooms and to improve clinical diagnosis of mushroom poisoning, a rapid mushroom species identification method is required. Such id",Molecular identification of poisonous mushrooms,INCLUDE,Relevant diagnostic/prevention cluster focused on DNA/LAMP-based rapid identification of poisonous mushroom species.
6,"species, lamp, identification, mushroom, poisonous, amplification, phylogenetic, based, isothermal, dna",3,"Rapid and Visual Identification of Chlorophyllum molybdites With Loop-Mediated Isothermal Amplification Method.. Chlorophyllum molybdites is a kind of common poisonous mushroom in China that is widely distributed in different areas. Food poisoning caused by accidentally eating C. molybdites has become more frequent in recent years. In 2019, there were 55 food poisoning incidents caused by eating this mushroom in China. Mushroom poisoning continues to be a common health issue of global concern. When mushroom poisoning occurs, an effective, simple, and rapid detection method is required for accu",Molecular identification of poisonous mushrooms,INCLUDE,Relevant diagnostic/prevention cluster focused on DNA/LAMP-based rapid identification of poisonous mushroom species.
7,"classification, learning, deep, machine, based, image, neural, using, mushroom, edible",1,Deep Learning-Based Mushroom Classification: Differentiating Edible and Poisonous Species Using Convolutional Neural Networks. .,AI and machine-learning classification of edible versus poisonous mushrooms,INCLUDE,Relevant computational-prevention theme addressing image-based or machine-learning differentiation of edible and poisonous mushrooms.
7,"classification, learning, deep, machine, based, image, neural, using, mushroom, edible",2,Comparative Analysis of Deep Learning Models for Edible Mushroom Image Classification. .,AI and machine-learning classification of edible versus poisonous mushrooms,INCLUDE,Relevant computational-prevention theme addressing image-based or machine-learning differentiation of edible and poisonous mushrooms.
7,"classification, learning, deep, machine, based, image, neural, using, mushroom, edible",3,Mushroom Classification Using Machine Learning. .,AI and machine-learning classification of edible versus poisonous mushrooms,INCLUDE,Relevant computational-prevention theme addressing image-based or machine-learning differentiation of edible and poisonous mushrooms.
8,"cortinarius, orellanine, renal, orellanus, kidney, acute, or, failure, parsley, nephrotoxic",1,[Acute renal failure due to Cortinarius poisoning].. .,Cortinarius / orellanine nephrotoxicity,INCLUDE,"Strong mushroom-specific nephrotoxicity cluster focused on Cortinarius poisoning, orellanine exposure, and renal failure."
8,"cortinarius, orellanine, renal, orellanus, kidney, acute, or, failure, parsley, nephrotoxic",2,"Renal involvement in mushroom poisoning: The case of Orellanus syndrome.. Although mushroom poisoning is a rare cause of acute renal injury, in some cases it may lead to the development of a severe and irreversible renal failure. Orellanus syndrome is the most important example of organic renal damage related to mushroom consumption. It is caused by the ingestion of orellanine, the main toxin of different types of Cortinarius mushrooms (Cortinarius speciosissimus, C. orellanus, C. orellanoides, etc.), and it is characterized by progressive clinical phases with a predominant kidney involvement,",Cortinarius / orellanine nephrotoxicity,INCLUDE,"Strong mushroom-specific nephrotoxicity cluster focused on Cortinarius poisoning, orellanine exposure, and renal failure."
8,"cortinarius, orellanine, renal, orellanus, kidney, acute, or, failure, parsley, nephrotoxic",3,"A novel orellanine containing mushroom Cortinarius armillatus.. Orellanine (3,3',4,4'-tetrahydroxy-2,2'-bipyridine-1,1'-dioxide) is a tetrahydroxylated di-N-oxidized bipyridine compound. The toxin, present in certain species of Cortinarius mushrooms, is structurally similar to herbicides Paraquat and Diquat. Cortinarius orellanus and Cortinarius rubellus are the major orellanine-containing mushrooms. Cortinarius mushrooms are widely reported in Europe where they have caused human poisoning and deaths through accidental ingestion of the poisonous species mistaken for the edible ones. In North A",Cortinarius / orellanine nephrotoxicity,INCLUDE,"Strong mushroom-specific nephrotoxicity cluster focused on Cortinarius poisoning, orellanine exposure, and renal failure."
9,"species, lepiota, amatoxins, amanita, galerina, sulciceps, phalloides, phallotoxins, and, marginata",1,"Profiling of amatoxins and phallotoxins in the genus Lepiota by liquid chromatography combined with UV absorbance and mass spectrometry.. Species in the mushroom genus Lepiota can cause fatal mushroom poisonings due to their content of amatoxins such as α-amanitin. Previous studies of the toxin composition of poisonous Lepiota species relied on analytical methods of low sensitivity or resolution. Using liquid chromatography coupled to UV absorbance and mass spectrometry, we analyzed the spectrum of peptide toxins present in six Italian species of Lepiota, including multiple samples of three of",Amatoxin and phallotoxin profiling across poisonous mushroom genera,INCLUDE,"Relevant analytical/toxin-composition cluster involving Amanita, Lepiota, Galerina, amatoxins, and phallotoxins."
9,"species, lepiota, amatoxins, amanita, galerina, sulciceps, phalloides, phallotoxins, and, marginata",2,"Occurrence and chemotaxonomical analysis of amatoxins in Lepiota spp. (Agaricales).. About 95% of fatal mushroom poisonings worldwide are caused by amatoxins and phallotoxins mostly produced by species of Amanita, Galerina, and Lepiota. The genus Lepiota is supposed to include a high number of species producing amatoxins. In this study, we investigated 16 species of Lepiota based on 48 recently collected specimens for the presence of amatoxins by liquid chromatography coupled to a diode-array detector and mass spectrometry (UHPLC-QTOF-MS/MS). By comparing the retention times, UV absorptions, a",Amatoxin and phallotoxin profiling across poisonous mushroom genera,INCLUDE,"Relevant analytical/toxin-composition cluster involving Amanita, Lepiota, Galerina, amatoxins, and phallotoxins."
9,"species, lepiota, amatoxins, amanita, galerina, sulciceps, phalloides, phallotoxins, and, marginata",3,"Clinical importance of toxin concentration in Amanita verna mushroom.. Poisoning from Amanita group of mushrooms comprises approximately 3% of all poisonings in our country and their being responsible for nearly the entire fatal mushroom poisonings makes them important. These mushrooms contain primarily two types of toxins, amatoxins and phallotoxins. Phallotoxins have a more limited toxicity potential and they primarily consist of phalloidin (PHN) and phallacidin (PCN). Amatoxins, on the other hand, are very toxic and they primarily consist of alpha-amanitin (AA), beta-amanitin (BA) and gamma",Amatoxin and phallotoxin profiling across poisonous mushroom genera,INCLUDE,"Relevant analytical/toxin-composition cluster involving Amanita, Lepiota, Galerina, amatoxins, and phallotoxins."
10,"chromatin, transcription, nuclear, dna, histone, that, replication, ii, the, of",1,"HSV-1 infection induces a downstream shift of the +1 nucleosome.. Herpes simplex virus 1 (HSV-1) infection induces a loss of host transcriptional activity and widespread disruption of host transcription termination, which leads to an induction of open chromatin downstream of genes. In this study, we show that lytic HSV-1 infection also leads to an extension of chromatin accessibility at promoters into downstream regions. This is most prominent for highly expressed genes and independent of the HSV-1 proteins ICP0, ICP22, ICP27, and vhs . ChIPmentation of the noncanonical histone variant H2A.Z, ",Chromatin and transcription biology unrelated to mushroom poisoning,EXCLUDE,"Representative papers concern chromatin, transcription, and viral/cellular genome regulation; not mushroom-specific."
10,"chromatin, transcription, nuclear, dna, histone, that, replication, ii, the, of",2,"Chromatin dynamics is correlated with replication timing.. Discrete chromatin domains (ChrD), containing an average of approximately 1 Mbp DNA, represent the basic structural units for the regulation of DNA organization and replication in situ. In this study, a bio-computational approach is employed to simultaneously measure the translational motion of large populations of ChrD in the cell nucleus of living cells. Both movement and configurational changes are strikingly higher in early S-phase replicating ChrD compared to those that replicate in mid and late S-phase. The chromatin dynamics was",Chromatin and transcription biology unrelated to mushroom poisoning,EXCLUDE,"Representative papers concern chromatin, transcription, and viral/cellular genome regulation; not mushroom-specific."
10,"chromatin, transcription, nuclear, dna, histone, that, replication, ii, the, of",3,"RNA is an integral component of chromatin that contributes to its structural organization.. Chromatin structure is influenced by multiples factors, such as pH, temperature, nature and concentration of counterions, post-translational modifications of histones and binding of structural non-histone proteins. RNA is also known to contribute to the regulation of chromatin structure as chromatin-induced gene silencing was shown to depend on the RNAi machinery in S. pombe, plants and Drosophila. Moreover, both in Drosophila and mammals, dosage compensation requires the contribution of specific non-co",Chromatin and transcription biology unrelated to mushroom poisoning,EXCLUDE,"Representative papers concern chromatin, transcription, and viral/cellular genome regulation; not mushroom-specific."
11,"province, poisoning, mushroom, china, meteorological, guizhou, wild, epidemiological, incidents, cases",1,"The association between air pollutants, meteorological factors, and mushroom poisoning cases in Guizhou Province, China: a 5-year time-series study.. Mushroom poisoning is a major food safety concern in Guizhou Province, where meteorological conditions play an important role in its occurrence. However, the lagged associations and interactions between air pollutants and meteorological factors on poisoning risk remain unclear. This study systematically evaluates the impact of these environmental factors on mushroom poisoning incidence. We collected daily records of mushroom poisoning cases, air ",Epidemiology and environmental predictors of mushroom poisoning,INCLUDE,"Relevant public-health cluster focused on mushroom poisoning incidence, meteorological factors, and regional surveillance, especially in China."
11,"province, poisoning, mushroom, china, meteorological, guizhou, wild, epidemiological, incidents, cases",2,"Mushroom poisoning outbreaks in Guizhou Province, China: a prediction study using SARIMA and Prophet models.. Mushroom poisoning is a public health concern worldwide that not only harms the physical and mental health of those who are poisoned but also increases the medical and financial burden on families and society. The present study aimed to describe and analyze the current situations and factors influencing mushroom poisoning outbreaks in Guizhou province, Southwest China, between January 2012 and June 2022, and to predict the future trends of its occurrence. Our study provides a basis for",Epidemiology and environmental predictors of mushroom poisoning,INCLUDE,"Relevant public-health cluster focused on mushroom poisoning incidence, meteorological factors, and regional surveillance, especially in China."
11,"province, poisoning, mushroom, china, meteorological, guizhou, wild, epidemiological, incidents, cases",3,"Study on the correlation between the number of mushroom poisoning cases and meteorological factors based on the generalized additive model in Guizhou Province, 2023.. Mushroom poisoning is a significant food safety issue in Guizhou Province, China. Studies on this topic are essential for its prevention and control. We aimed to analyze the epidemiological characteristics of mushroom poisoning and study the correlation between its cases and meteorological factors in Guizhou Province. We collected data on mushroom poisoning and meteorological factors in Guizhou Province in 2023. A descriptive ana",Epidemiology and environmental predictors of mushroom poisoning,INCLUDE,"Relevant public-health cluster focused on mushroom poisoning incidence, meteorological factors, and regional surveillance, especially in China."
12,"as1, mir, cells, expression, mirna, mapt, cancer, by, mirnas, glioma",1,"LncRNA FAM83A-AS1 promotes lung adenocarcinoma progression by enhancing the pre-mRNA stability of FAM83A.. Lung cancer is the leading cause of cancer deaths worldwide. Long non-coding RNAs (lncRNAs) affect a series of cellular biological processes, including oncogene function promotion. In this study, we explored the functions and mechanisms of FAM83A antisense RNA 1 (FAM83A-AS1) in non-small cell lung cancer (NSCLC) progression. The expression of FAM83A-AS1and FAM83A mRNA was analyzed using the Cancer Genome Atlas (TCGA) data. Proliferation, migration, invasion and Western blotting were measu",Cancer lncRNA / miRNA biology unrelated to mushroom poisoning,EXCLUDE,Representative papers are oncology and RNA-regulation studies without meaningful mushroom-poisoning relevance.
12,"as1, mir, cells, expression, mirna, mapt, cancer, by, mirnas, glioma",2,"MiR-1 Is Regulated by Hydrogen Peroxide via MAPK and Limits Cell Migration and Invasion.. MicroRNA-1 (miR-1) is a conserved microRNA that is highly expressed in skeletal and cardiac muscle tissues. Moreover, miR-1 regulates genes and has critical roles in cell migration and invasion. Downregulation of miR-1 has been found in many pathologies of numerous organs, including the lungs. What exactly contributes to the downregulation of miR-1 is not fully understood, and in the present study, we investigated whether ROS regulate miR-1 and its role in cell migration and invasion. A549 cells were grow",Cancer lncRNA / miRNA biology unrelated to mushroom poisoning,EXCLUDE,Representative papers are oncology and RNA-regulation studies without meaningful mushroom-poisoning relevance.
12,"as1, mir, cells, expression, mirna, mapt, cancer, by, mirnas, glioma",3,"Knockdown of LncRNA MAPT-AS1 inhibites proliferation and migration and sensitizes cancer cells to paclitaxel by regulating MAPT expression in ER-negative breast cancers.. MAPT-AS1, a long non-coding RNA, has not been reported in any previous research about its function in cancers. In this study, we investigated the role of MAPT-AS1 in the progression and paclitaxel resistance in breast cancer, and the regulation between MAPT-AS1 and its natural comparable sense transcripts MAPT. We analysed the breast cancer patients' clinical information and explored the function of MAPT-AS1 by gain- and loss",Cancer lncRNA / miRNA biology unrelated to mushroom poisoning,EXCLUDE,Representative papers are oncology and RNA-regulation studies without meaningful mushroom-poisoning relevance.
13,"ms, urine, method, amanitin, samples, ml, for, liquid, detection, chromatography",1,"Simple and rapid detection of three amatoxins and three phallotoxins in human body fluids by UPLC-MS-MS and its application in 15 poisoning cases.. Amatoxins and phallotoxins are toxic cyclopeptides found in the genus Amanita and are among the predominant causes of foodborne sickness and poisoning-related fatalities in China. This study introduces and validates a simple, rapid and cost-effective ultra-performance liquid chromatography-mass spectrometry method for the simultaneous determination and quantification of α-amanitin, β-amanitin, γ-amanitin, phallisacin, phallacidin and phalloidin in ",Clinical detection of amatoxins in biological samples,INCLUDE,"Relevant diagnostic toxicology cluster focused on LC-MS/MS and related analytical methods for detecting amatoxins in urine, plasma, and body fluids."
13,"ms, urine, method, amanitin, samples, ml, for, liquid, detection, chromatography",2,"Lateral flow immunoassay for amatoxins detection in human urine compared to liquid chromatography-high-resolution tandem mass spectrometry.. Amatoxin-containing mushrooms, which contribute to many intoxications each year, are of particular interest for clinicians and toxicologists, as patients require special treatment in hospitals. To confirm the presence of amatoxins, approaches for their fast, sensitive, and reliable identification must be available. Solid-phase extraction followed by liquid chromatography-high-resolution tandem mass spectrometry (LC-HRMS/MS) is widely applied for analysis ",Clinical detection of amatoxins in biological samples,INCLUDE,"Relevant diagnostic toxicology cluster focused on LC-MS/MS and related analytical methods for detecting amatoxins in urine, plasma, and body fluids."
13,"ms, urine, method, amanitin, samples, ml, for, liquid, detection, chromatography",3,"Analysis of α- and β-amanitin in Human Plasma at Subnanogram per Milliliter Levels by Reversed Phase Ultra-High Performance Liquid Chromatography Coupled to Orbitrap Mass Spectrometry.. Amatoxins are known to be one of the main causes of serious to fatal mushroom intoxication. Thorough treatment, analytical confirmation, or exclusion of amatoxin intake is crucial in the case of any suspected mushroom poisoning. Urine is often the preferred matrix due to its higher concentrations compared to other body fluids. If urine is not available, analysis of human blood plasma is a valuable alternative f",Clinical detection of amatoxins in biological samples,INCLUDE,"Relevant diagnostic toxicology cluster focused on LC-MS/MS and related analytical methods for detecting amatoxins in urine, plasma, and body fluids."
14,"outbreaks, foodborne, disease, fbdos, food, surveillance, province, china, household, households",1,"Surveillance of household foodborne disease outbreaks in Zhejiang Province, China, 2010-2022.. Foodborne diseases are a growing public health concern worldwide and households are a common setting. This study aimed to explore the epidemiological characteristics of household foodborne disease outbreaks in Zhejiang Province and propose targeted prevention and control measures. Descriptive statistical methods were used to analyze household foodborne disease outbreak data collected from the Foodborne Disease Outbreaks Surveillance System in Zhejiang Province from 2010 to 2022. Household foodborne d",General foodborne disease outbreak surveillance,EXCLUDE,Dominated by broad foodborne disease surveillance rather than mushroom-specific poisoning.
14,"outbreaks, foodborne, disease, fbdos, food, surveillance, province, china, household, households",2,"Descriptive study of foodborne disease outbreaks using monitoring data from foodborne disease outbreak surveillance system (FDOSS) in Jiaxing City, China, 2013-2023.. Foodborne diseases are a serious public health problem that cause a heavy burden of illness. We aimed to analyze the characteristics of foodborne disease outbreaks (FBDOs) in Jiaxing and provide scientific support for foodborne disease prevention and control. Descriptive epidemiological methods were used to statistically analyze the data reported by seven county-level Centers for Disease Control and Prevention (CDCs) in Jiaxing C",General foodborne disease outbreak surveillance,EXCLUDE,Dominated by broad foodborne disease surveillance rather than mushroom-specific poisoning.
14,"outbreaks, foodborne, disease, fbdos, food, surveillance, province, china, household, households",3,"Surveillance for foodborne disease outbreaks in Zhejiang Province, China, 2015-2020.. Foodborne diseases are a major cause of morbidity and mortality and a major public health problem worldwide. We aim to explore characteristics of foodborne disease outbreaks (FBDOs) in Zhejiang Province and to provide data support for foodborne disease prevention and control. To our knowledge, few such analyses have been published at the provincial level. Descriptive statistical methods were used to analyze the data reported by centers for disease control (CDC) at all levels in Zhejiang Province through Foodb",General foodborne disease outbreak surveillance,EXCLUDE,Dominated by broad foodborne disease surveillance rather than mushroom-specific poisoning.
